Date,"Item Code",Quantity,UoM,Division,"Req. No."
28/Aug/2021,"1439101                       ",80,"REAM       ",55,RQN2108002322
28/Aug/2021,"1150100                       ",20000,"SHEET          ",55,RQN2108002322
28/Aug/2021,"1150101                       ",50000,"BOOKLET        ",55,RQN2108002322
28/Aug/2021,"1414100                       ",12,"DOZEN          ",55,RQN2108002322
28/Aug/2021,"1106101                       ",100,"BOOKLET        ",55,RQN2108002322
28/Aug/2021,"1225103                       ",1000,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1152101                       ",2,"BOOKLET        ",55,RQN2108002322
28/Aug/2021,"1113103                       ",5000,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1101160                       ",6,"PAD            ",55,RQN2108002322
28/Aug/2021,"1225100                       ",1000,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1426100                       ",24,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1423100                       ",36,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1411100                       ",10,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1459100                       ",10,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1453100                       ",24,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1447100                       ",20,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1457100                       ",36,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1025100                       ",2000,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1166100                       ",1000,"SHEET          ",55,RQN2108002322
28/Aug/2021,"1433100                       ",24,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1101138                       ",2000,"SHEET          ",55,RQN2108002322
28/Aug/2021,"1101139                       ",5000,"SHEET          ",55,RQN2108002322
28/Aug/2021,"1034100                       ",200,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1455100                       ",20,"BUNDLE         ",55,RQN2108002322
28/Aug/2021,"1049100                       ",16,"EACH           ",55,RQN2108002322
28/Aug/2021,"1571004                       ",200,"ROLL           ",55,RQN2108002322
28/Aug/2021,"BIO-000001                    ",280,ROLL,55,RQN2108002322
28/Aug/2021,"1002102                       ",4,"EACH           ",55,RQN2108002322
28/Aug/2021,"1510101                       ",16,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1162100                       ",100,"BOOKLET        ",55,RQN2108002322
28/Aug/2021,"1101125                       ",100,"BOOKLET        ",55,RQN2108002322
28/Aug/2021,"1101123                       ",100,"BOOKLET        ",55,RQN2108002322
28/Aug/2021,"1101124                       ",100,"BOOKLET        ",55,RQN2108002322
28/Aug/2021,"1408100                       ",100,"BOX            ",55,RQN2108002322
28/Aug/2021,"1428100                       ",288,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1467100                       ",60,"PIECE          ",55,RQN2108002322
28/Aug/2021,"1443100                       ",24,"DOZEN          ",55,RQN2108002322
28/Aug/2021,"1242100                       ",4,"BOX            ",55,RQN2108002322
28/Aug/2021,"1242102                       ",6,"BOX            ",55,RQN2108002322
28/Aug/2021,"1242101                       ",6,"BOX            ",55,RQN2108002322
28/Aug/2021,"1407100                       ",10,"BOOKLET        ",55,RQN2108002322
28/Aug/2021,"1571010                       ",50,"PIECE          ",55,RQN2108002322
