Date,"Item Code",Quantity,UoM,Division,"Req. No."
19/Jan/2022,"1239100                       ",3000,"PAD            ",50,RQN2201004250
19/Jan/2022,"1150100                       ",5000,"SHEET          ",50,RQN2201004250
19/Jan/2022,"1106101                       ",100,"BOOKLET        ",50,RQN2201004250
19/Jan/2022,"1439101                       ",50,"REAM           ",50,RQN2201004250
19/Jan/2022,"1225100                       ",500,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1225103                       ",1000,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1101148                       ",5000,"SHEET          ",50,RQN2201004250
19/Jan/2022,"1455100                       ",20,"BUNDLE         ",50,RQN2201004250
19/Jan/2022,"1162100                       ",100,"BOOKLET        ",50,RQN2201004250
19/Jan/2022,"1101123                       ",100,"BOOKLET        ",50,RQN2201004250
19/Jan/2022,"1407100                       ",10,"BOOKLET        ",50,RQN2201004250
19/Jan/2022,"1242100                       ",2,"BOX            ",50,RQN2201004250
19/Jan/2022,"1242102                       ",2,"BOX            ",50,RQN2201004250
19/Jan/2022,"1460100                       ",12,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1459100                       ",4,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1467100                       ",40,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1426100                       ",10,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1447100                       ",4,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1408100                       ",50,"PIECE      ",50,RQN2201004250
19/Jan/2022,"1428100                       ",144,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1166100                       ",3000,"SHEET          ",50,RQN2201004250
19/Jan/2022,"1443100                       ",24,"PIECE      ",50,RQN2201004250
19/Jan/2022,"BIO-000001                    ",280,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1457100                       ",40,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1101139                       ",5000,"SHEET          ",50,RQN2201004250
19/Jan/2022,"1101138                       ",5000,"SHEET          ",50,RQN2201004250
19/Jan/2022,"1306100                       ",10,"BOOKLET        ",50,RQN2201004250
19/Jan/2022,"1412100                       ",25,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1422100                       ",5,"PIECE          ",50,RQN2201004250
19/Jan/2022,"1225101                       ",500,"PIECE          ",50,RQN2201004250
